,BTCUSDT,ETHUSDT,BNBUSDT,LTCUSDT,NEOUSDT,XRPUSDT,ADAUSDT,BELUSDT,XLMUSDT,BATUSDT,LINKUSDT,BANDUSDT,ONTUSDT,IOTAUSDT
1668,18483.50000000,572.30000000,28.15630000,77.52000000,16.74600000,0.55969000,0.14407000,1.49280000,0.16146000,0.21900000,12.39000000,6.78500000,0.49850000,0.30440000
1669,18451.01000000,571.62000000,28.11520000,77.05000000,16.70400000,0.55709000,0.14302000,1.49800000,0.15965000,0.21840000,12.39630000,6.87020000,0.50030000,0.30500000
1670,18349.50000000,567.73000000,28.00760000,76.24000000,16.67100000,0.55012000,0.14256000,1.48120000,0.15820000,0.21730000,12.31070000,6.70010000,0.49850000,0.30510000
1671,18389.74000000,569.77000000,28.06010000,76.58000000,16.84900000,0.55339000,0.14385000,1.48950000,0.16303000,0.21820000,12.39480000,6.94050000,0.50390000,0.30420000
1672,18304.06000000,568.97000000,28.06850000,75.94000000,16.82100000,0.55275000,0.14325000,1.51460000,0.16055000,0.21760000,12.44300000,7.04280000,0.50130000,0.30510000
1673,18196.40000000,566.42000000,28.01340000,75.42000000,16.70000000,0.54775000,0.14178000,1.48630000,0.15988000,0.21520000,12.31770000,6.82700000,0.49780000,0.30320000
1674,18260.03000000,568.83000000,28.06190000,75.68000000,16.70200000,0.55306000,0.14315000,1.47280000,0.16107000,0.21570000,12.38240000,6.92840000,0.49880000,0.30460000
1675,18341.02000000,573.63000000,28.19260000,76.54000000,16.86000000,0.57495000,0.14586000,1.44710000,0.16957000,0.21710000,12.51370000,6.95810000,0.50310000,0.30750000
1676,18519.37000000,575.98000000,28.35080000,77.45000000,16.95900000,0.59352000,0.14935000,1.42120000,0.17194000,0.21870000,12.58600000,7.02040000,0.50700000,0.30970000
1677,18556.11000000,576.01000000,28.29920000,77.82000000,16.92700000,0.58343000,0.14790000,1.42250000,0.17032000,0.21920000,12.69200000,6.95940000,0.50590000,0.30980000
1678,18541.28000000,573.09000000,28.14520000,77.41000000,16.89900000,0.58265000,0.14796000,1.39620000,0.17206000,0.21970000,12.62120000,6.91350000,0.50600000,0.30840000
1679,18432.01000000,567.16000000,28.08500000,76.76000000,16.78100000,0.56940000,0.14615000,1.39340000,0.17258000,0.21830000,12.52000000,7.00850000,0.50260000,0.30590000
1680,18431.25000000,569.67000000,28.17760000,76.77000000,16.78100000,0.57465000,0.14663000,1.40160000,0.17409000,0.21780000,12.50380000,6.92400000,0.50080000,0.30540000
1681,18386.02000000,568.26000000,27.99910000,76.54000000,16.71200000,0.56958000,0.14625000,1.35220000,0.17140000,0.21700000,12.43640000,6.81770000,0.49840000,0.30380000
1682,18409.77000000,567.66000000,28.00360000,76.62000000,16.64500000,0.57420000,0.14645000,1.35550000,0.17380000,0.21650000,12.36390000,6.79360000,0.49840000,0.30430000
1683,18418.15000000,567.22000000,27.99000000,76.46000000,16.53800000,0.57623000,0.14626000,1.36410000,0.17233000,0.21670000,12.31310000,6.79660000,0.49930000,0.30480000
1684,18372.37000000,563.78000000,27.93630000,75.80000000,16.42700000,0.57190000,0.14574000,1.31690000,0.17129000,0.21640000,12.29230000,6.71200000,0.49970000,0.30220000
1685,18298.22000000,560.14000000,27.78310000,75.11000000,16.41300000,0.56738000,0.14489000,1.32090000,0.16827000,0.21510000,12.16820000,6.66210000,0.49560000,0.29900000
1686,18335.91000000,563.51000000,27.84610000,75.78000000,16.64300000,0.57418000,0.14568000,1.32620000,0.17221000,0.21610000,12.26150000,6.69050000,0.49880000,0.30070000
1687,18433.30000000,565.90000000,28.01440000,76.30000000,16.67000000,0.57889000,0.14676000,1.33860000,0.17320000,0.21850000,12.32470000,6.76700000,0.49970000,0.30260000
